ability|能力；才能
connect|连接；联系
connected|相连的；有关的
consider|考虑；认为
contain|包含；容纳
context|背景；上下文
continent|大洲
continue|继续
control|控制；管理
cook|做饭；厨师
cooker|炉具；炊具
copy|复制；副本
corner|角落
correctly|正确地
count|数数；计算
couple|一对；几个
cover|覆盖；封面
crazy|疯狂的；愚蠢的
creative|有创造力的
credit|信用；学分
crime|犯罪；罪行
criminal|罪犯；犯罪的
cross|穿过；十字
crowd|人群
crowded|拥挤的
cry|哭；喊叫
cupboard|橱柜
curly|卷曲的
cycle|骑自行车；循环
daily|每日的；每天
danger|危险
dark|黑暗的；深色的
data|数据
dead|死的
deal|交易；处理
dear|亲爱的；昂贵的
death|死亡
decision|决定
deep|深的；深深地
definitely|肯定地；确实
degree|程度；学位；度数
dentist|牙医
department|部门；系
depend|依靠；取决于
desert|沙漠
designer|设计师
destroy|破坏；毁灭
detective|侦探
develop|发展；开发
device|设备；装置
diary|日记
differently|不同地
digital|数字的；数码的
direct|直接的；指导
direction|方向；指示
director|导演；主管
disagree|不同意
disappear|消失
disaster|灾难
discover|发现
discovery|发现
discussion|讨论
disease|疾病
distance|距离
divorced|离婚的
document|文件；文档
double|双倍的；加倍
download|下载
downstairs|在楼下；楼下的
drama|戏剧；剧情
drawing|图画；绘画
dream|梦；梦想
drive|开车；驱动
driving|驾驶
drop|掉下；滴
drug|药物；毒品
dry|干的；使变干
earn|赚得；挣得
earth|地球；泥土
easily|容易地
education|教育
effect|影响；效果
either|也；两者之一
electric|电的
electrical|电气的；用电的
electricity|电；电力
electronic|电子的
employ|雇用
employee|雇员
employer|雇主
empty|空的；清空
ending|结尾；结束
energy|能量；精力
engine|发动机
engineer|工程师
enormous|巨大的
enter|进入
environment|环境
equipment|设备；装备
error|错误
especially|尤其；特别
essay|文章；短文
everyday|日常的
everywhere|到处
evidence|证据
exact|精确的；确切的
exactly|精确地；正是
excellent|优秀的
except|除...之外
exist|存在
expect|期待；预料
experience|经验；经历
experiment|实验
expert|专家；熟练的
explanation|解释
express|表达；快递的
expression|表达；表情
extreme|极端的
extremely|极其；非常
factor|因素
factory|工厂
fail|失败；未能
fair|公平的；集市
fall|落下；秋天
fan|粉丝；风扇
farm|农场
farming|农业；耕作
fashion|时尚；流行
fat|胖的；脂肪
fear|害怕；恐惧
feature|特点；特征
feed|喂养；供给
female|女性的；雌性的
fiction|小说；虚构
field|田地；领域
fight|打架；战斗
figure|数字；人物；认为
film|电影；薄膜
final|最后的；决赛
finally|最后；终于
finger|手指
finish|完成；结束
first|第一；首先
firstly|首先
fish|鱼；钓鱼
fishing|钓鱼
fit|合适；健康的
fix|修理；固定
flat|公寓；平坦的
fly|飞；苍蝇
flying|飞行；会飞的
focus|集中；焦点
following|下列的；接着的
foreign|外国的
forest|森林
fork|叉子
formal|正式的
fortunately|幸运地
forward|向前；前进
free|自由的；免费的
fresh|新鲜的
fridge|冰箱
frog|青蛙
fun|乐趣；有趣的
furniture|家具
further|更远；进一步
future|未来；将来的
gallery|画廊；美术馆
gap|缺口；差距
gas|气体；汽油
gate|大门
general|一般的；将军
gift|礼物；天赋
goal|目标；进球
god|神；上帝
gold|金；金色的
golf|高尔夫球
good|好的
government|政府
grass|草
greet|问候
ground|地面；场地
guest|客人
guide|导游；指南；引导
gun|枪
guy|家伙；男子
habit|习惯
half|一半
hall|大厅；礼堂
happily|高兴地
have|有；吃喝；经历
headache|头痛
heart|心脏；内心
heat|热；加热
heavy|重的；大量的
height|高度
helpful|有帮助的
hero|英雄
hers|她的
herself|她自己
hide|隐藏
high|高的；高处
hill|小山
himself|他自己
his|他的
hit|打；击中
hockey|曲棍球
hold|拿着；举行
hole|洞；孔
home|家；在家
hope|希望
huge|巨大的
human|人类；人的
hurt|伤害；疼痛
ideal|理想的；理想
identify|识别；确认
ill|生病的
illness|疾病
image|图像；形象
immediately|立即
impossible|不可能的
included|包括在内的
including|包括
increase|增加；增长
incredible|难以置信的
independent|独立的
individual|个人；单独的
industry|工业；行业
informal|非正式的
injury|受伤；伤害
insect|昆虫
inside|在里面；里面
instead|代替；反而
instruction|指示；说明
instructor|教练；导师
instrument|乐器；工具
intelligent|聪明的
international|国际的
introduction|介绍；引言
invent|发明
invention|发明
invitation|邀请
invite|邀请
involve|涉及；包含
item|物品；项目
itself|它自己
jam|果酱；堵塞
jazz|爵士乐
jewellery|珠宝
joke|笑话；开玩笑
journalist|记者
jump|跳；跳跃
kid|小孩；开玩笑
kill|杀死
king|国王
knee|膝盖
knife|刀
knock|敲；撞
knowledge|知识
lab|实验室
lady|女士
lake|湖
lamp|灯
land|陆地；降落
laptop|笔记本电脑
last|最后的；持续
later|后来；稍后
laughter|笑声
law|法律
lawyer|律师
lazy|懒惰的
lead|带领；铅
leader|领导者
learning|学习
least|最少；最小的
lecture|讲座；讲课
lemon|柠檬
lend|借出
less|更少；较少
level|水平；级别
lifestyle|生活方式
lift|电梯；举起
light|光；轻的；点燃
likely|可能的
link|连接；链接
listener|听众
little|小的；少量
lock|锁；锁上
look|看；样子
lorry|卡车
lost|迷路的；丢失的
loud|大声的
loudly|大声地
lovely|可爱的；美好的
low|低的；低处
luck|运气
lucky|幸运的
mail|邮件；邮寄
major|主要的；专业
male|男性的；雄性的
manage|管理；设法做到
manager|经理
manner|方式；举止
mark|分数；标记
marry|结婚
material|材料；素材
mathematics|数学
maths|数学
matter|事情；要紧
may|可能；可以
media|媒体
medical|医学的；医疗的
medicine|药；医学
memory|记忆；回忆
mention|提到
metal|金属
method|方法
middle|中间；中间的
might|可能；力量
mind|介意；头脑
mine|我的；矿
mirror|镜子
missing|失踪的；缺少的
mobile|手机；移动的
monkey|猴子
moon|月亮
mostly|主要地；大部分
motorcycle|摩托车
movement|移动；运动
musical|音乐的；音乐剧
myself|我自己
narrow|狭窄的
national|国家的；民族的
nature|自然；本性
nearly|几乎；差不多
necessary|必要的
neck|脖子
need|需要；必要
neither|两者都不
nervous|紧张的
network|网络；人脉
noise|噪音
noisy|嘈杂的
none|没有一个
normal|正常的
normally|通常；正常地
notice|注意到；通知
novel|小说
nowhere|无处；哪里都不
number|数字；号码
nut|坚果；螺母
ocean|海洋
offer|提供；提议
officer|官员；军官
oil|油；石油
onto|到...上
opportunity|机会
option|选择；选项
ordinary|普通的
organization|组织；机构
organize|组织；安排
original|原来的；原创的
ourselves|我们自己
outside|外面；在外面
oven|烤箱
own|自己的；拥有
owner|所有者；主人
pack|包；打包
pain|疼痛
painter|画家；油漆工
palace|宫殿
pants|裤子
parking|停车
particular|特定的；特别的
pass|通过；传递
passenger|乘客
past|过去；经过
patient|病人；有耐心的
pattern|图案；模式
pay|支付；工资
peace|和平
penny|便士
per|每；按照
per cent|百分之...
perform|表演；执行
perhaps|也许
personality|性格；个性
pet|宠物
petrol|汽油
photograph|照片
physical|身体的；物理的
physics|物理学
pick|挑选；采摘
pilot|飞行员；驾驶
planet|行星
plant|植物；工厂；种植
plastic|塑料；塑料的
plate|盘子；板
platform|平台；站台
please|请；使高兴
pleased|高兴的；满意的
pocket|口袋
polite|礼貌的
pollution|污染
pop|流行音乐；突然出现
population|人口
position|位置；职位
possession|拥有；所有物
possibility|可能性
poster|海报
power|力量；电力
predict|预测
present|礼物；现在；出席的
president|总统；主席
prevent|阻止；预防
print|打印；印刷
printer|打印机
prison|监狱
prize|奖品；奖金
process|过程；处理
produce|生产；制造
professional|专业的；专业人士
professor|教授
profile|简介；概况
program|节目；程序
progress|进步；进展
promise|承诺；答应
pronounce|发音
protect|保护
provide|提供
pub|酒吧
public|公众；公开的
publish|出版；发布
pull|拉
purpose|目的
push|推
quality|质量；品质
quantity|数量
queen|女王；王后
question|问题；提问
quietly|安静地
race|比赛；种族
railway|铁路
raise|提高；筹集；养育
rate|比率；速度；评价
rather|相当；宁愿
reach|到达；够到
react|反应
realize|意识到；实现
receive|收到；接收
recent|最近的
recently|最近
reception|接待处；接收
recipe|食谱
recognize|认出；承认
recommend|推荐；建议
record|记录；唱片
recording|录音；录像
recycle|回收利用
reduce|减少
refer|提到；参考
refuse|拒绝
region|地区
regular|定期的；规则的
relationship|关系
remove|移除；脱掉
repair|修理
replace|替换；代替
reply|回复；回答
report|报告；报道
reporter|记者
request|请求；要求
research|研究
researcher|研究人员
respond|回应；回答
response|回应；反应
rest|休息；其余部分
review|复习；评论
ride|骑；乘坐
ring|戒指；铃声；打电话
rise|上升；升起
rock|岩石；摇滚乐
role|角色；作用
roof|屋顶
round|圆形的；一轮
route|路线
rubbish|垃圾
rude|粗鲁的
run|跑；经营；运行
runner|跑步者
running|跑步；运转
sadly|悲伤地；遗憾地
safe|安全的
sail|航行；帆
sailing|帆船运动；航行
salary|工资；薪水
sauce|酱汁
save|节省；保存；拯救
scared|害怕的
scary|可怕的
scene|场景；现场
schedule|时间表；安排
score|分数；得分
screen|屏幕
search|搜索；寻找
season|季节
seat|座位
second|第二；秒
secondly|其次
secret|秘密；秘密的
secretary|秘书
seem|似乎
sense|感觉；意义
separate|分开的；分开
series|系列
serious|严肃的；严重的
serve|服务；提供
service|服务
several|几个
shake|摇动；颤抖
shall|将；应该
shape|形状；塑造
sheet|床单；纸张
ship|船；运送
shoulder|肩膀
shout|喊叫
shut|关闭
side|一边；方面
sign|标志；签名
silver|银；银色的
simple|简单的
since|自从；因为
singing|唱歌
single|单个的；单身的
sir|先生
site|地点；网站
size|尺寸；大小
ski|滑雪
skin|皮肤
sky|天空
sleep|睡觉；睡眠
slowly|慢慢地
smartphone|智能手机
smell|气味；闻
smile|微笑
smoke|烟；吸烟
smoking|吸烟
soap|肥皂
soccer|足球
social|社会的；社交的
society|社会
sock|袜子
soft|柔软的
soldier|士兵
solution|解决办法
solve|解决
somewhere|某处
sort|种类；整理
source|来源；源头
speaker|说话者；扬声器
specific|具体的；特定的
speech|演讲；言语
speed|速度
spider|蜘蛛
spoon|勺子
square|正方形；广场
stage|舞台；阶段
stair|楼梯
stamp|邮票；印章
star|星星；明星
start|开始
state|状态；州；陈述
stay|停留；保持
steal|偷
step|步骤；台阶
stomach|胃；肚子
stone|石头
store|商店；储存
storm|暴风雨
straight|直的；径直地
strange|奇怪的；陌生的
strategy|策略
stress|压力；强调
structure|结构
stupid|愚蠢的
succeed|成功
successful|成功的
such|如此的；这样的
suddenly|突然
suggest|建议；暗示
suggestion|建议
suit|套装；适合
support|支持
suppose|认为；假设
sure|确定的
surprise|惊喜；使惊讶
surprised|惊讶的
surprising|令人惊讶的
survey|调查
sweet|甜的；糖果
symbol|符号；象征
system|系统
tablet|平板电脑；药片
talk|谈话；交谈
target|目标
task|任务
taste|味道；品尝
teaching|教学
technology|技术
teenage|青少年的
temperature|温度
term|学期；术语
text|文本；短信
themselves|他们自己
thick|厚的；浓的
thief|小偷
thin|薄的；瘦的
thinking|思考；想法
third|第三
thought|想法；思考
throw|扔
tidy|整洁的；整理
tie|领带；系
tip|建议；小费
tool|工具
top|顶部；最高的
touch|触摸；联系
tour|旅行；参观
tourism|旅游业
towards|朝；向
towel|毛巾
tower|塔
toy|玩具
track|轨道；踪迹
tradition|传统
traditional|传统的
train|火车；训练
trainer|教练；运动鞋
training|训练
transport|交通；运输
traveller|旅行者
trouble|麻烦；困难
truck|卡车
twin|双胞胎；双生的
typical|典型的
underground|地下的；地铁
understanding|理解；理解力
unfortunately|不幸地
unhappy|不开心的
uniform|制服
unit|单元；单位
united|联合的
unusual|不寻常的
upstairs|在楼上；楼上的
use|使用；用途
used to|过去常常
user|用户
usual|通常的；平常的
valley|山谷
van|货车
variety|种类；多样性
vehicle|车辆
view|观点；景色；查看
virus|病毒
voice|声音；嗓音
wait|等待
warn|警告
wash|洗；洗涤
washing|洗涤；待洗衣物
wave|波浪；挥手
weak|虚弱的；弱的
web|网；网络
wedding|婚礼
weight|重量；体重
welcome|欢迎；受欢迎的
wet|湿的
wheel|轮子
while|当...时；一会儿
whole|全部的；整个的
whose|谁的
wide|宽的；广泛的
wild|野生的；狂野的
wind|风；缠绕
winner|获胜者
wish|希望；愿望
wood|木头；树林
wooden|木制的
working|工作的；运转的
worried|担心的
worry|担心；使担心
worse|更差的
worst|最差的
wow|哇；使惊叹
yet|还；然而
yours|你的；你们的
zero|零
