absolutely|绝对地；完全地
edge|边缘
editor|编辑
educate|教育
educated|受过教育的
educational|教育的
effective|有效的
effectively|有效地
effort|努力
election|选举
element|元素；要素
embarrassed|尴尬的
embarrassing|令人尴尬的
emergency|紧急情况
emotion|情绪
employment|就业
empty|空的
encourage|鼓励
enemy|敌人
engaged|订婚的；忙于
engineering|工程学
entertainment|娱乐
entrance|入口
entry|进入；条目
environmental|环境的
episode|一集；事件
equal|平等的；相等的
equally|同样地
escape|逃脱
essential|必要的
eventually|最终
examine|检查
except|除了
exchange|交换；交流
excitement|兴奋
exhibition|展览
expand|扩大
expected|预期的
expedition|远征；考察
experience|经历；经验
experienced|有经验的
experiment|实验
explode|爆炸
explore|探索
explosion|爆炸
export|出口
extra|额外的
face|面对；脸
fairly|相当地；公平地
familiar|熟悉的
fancy|想要；花哨的
far|远的；远地
fascinating|迷人的
fashionable|时髦的
fasten|系牢
favour|帮助；赞同
fear|害怕；恐惧
feature|特征
fence|栅栏
fighting|打斗；战斗
file|文件；归档
financial|金融的
fire|火；开除
fitness|健康
fixed|固定的
flag|旗帜
flood|洪水
flour|面粉
flow|流动
fold|折叠
folk|民间的；人们
following|接下来的；下列的
force|力量；迫使
forever|永远
frame|框架；画框
freeze|结冰；冻结
frequently|频繁地
friendship|友谊
frighten|使害怕
frightened|害怕的
frightening|令人害怕的
frozen|冷冻的；结冰的
fry|油煎
fuel|燃料
function|功能；运转
fur|毛皮
further|更远；进一步的
garage|车库
gather|聚集；收集
generally|通常；一般地
generation|一代人
generous|慷慨的
gentle|温和的
gentleman|绅士
ghost|鬼魂
giant|巨大的；巨人
glad|高兴的
global|全球的
glove|手套
go|尝试；去
goods|商品
grade|年级；等级
graduate|毕业；毕业生
grain|谷物；颗粒
grateful|感激的
growth|增长
guard|守卫；保护
guilty|内疚的；有罪的
hand|手；递给
hang|悬挂
happiness|幸福
hardly|几乎不
hate|讨厌
head|头；前往
headline|标题
heating|供暖
heavily|大量地；沉重地
helicopter|直升机
highlight|突出；亮点
highly|高度地；非常
hire|雇用；租用
historic|有历史意义的
historical|历史的
honest|诚实的
horrible|可怕的
horror|恐怖
host|主持人；主办
hunt|打猎；搜寻
hurricane|飓风
hurry|匆忙
identity|身份
ignore|忽视
illegal|非法的
imaginary|想象中的
immediate|立即的
immigrant|移民
impact|影响
import|进口
importance|重要性
impression|印象
impressive|令人印象深刻的
improvement|改进
incredibly|难以置信地；非常
indeed|确实
indicate|表明
indirect|间接的
indoor|室内的
indoors|在室内
influence|影响
ingredient|原料；成分
injure|使受伤
injured|受伤的
innocent|无辜的
intelligence|智力
intend|打算
intention|意图
invest|投资
investigate|调查
involved|有关的；参与的
iron|铁；熨斗
issue|问题；发行
IT|信息技术
journal|期刊；日记
judge|法官；判断
keen|热切的；敏锐的
key|钥匙；关键的
keyboard|键盘
kick|踢
killing|杀害
kind|种类；善良的
kiss|亲吻
knock|敲；撞
label|标签
laboratory|实验室
lack|缺乏
latest|最新的
lay|放置；产卵
layer|层
lead|带领；铅
leading|主要的；领先的
leaf|叶子
leather|皮革
legal|合法的
leisure|闲暇
length|长度
level|水平；等级
lie|躺；说谎
like|像；喜欢
limit|限制；限度
lip|嘴唇
liquid|液体
literature|文学
live|现场直播的；居住
living|生活；活着的
local|当地的
locate|定位；位于
located|位于
location|地点
lonely|孤独的
loss|损失
luxury|奢侈品；奢华
mad|生气的；疯狂的
magic|魔法
mainly|主要地
mall|商场
management|管理
market|市场
marketing|营销
marriage|婚姻
meanwhile|与此同时
measure|测量；措施
medium|中等的；媒介
mental|心理的
mention|提到
mess|混乱
mild|温和的
mine|矿；我的
mix|混合
mixture|混合物
mood|心情
move|移动；搬家
mud|泥
murder|谋杀
muscle|肌肉
musical|音乐的；音乐剧
mystery|神秘；谜
nail|指甲；钉子
narrative|叙述；故事
nation|国家
native|本地的；本国人
naturally|自然地
necessarily|必然地
need|需要
needle|针
neighbourhood|街区；邻里
neither|两者都不
net|网
next|下一个
nor|也不
normal|正常的
northern|北方的
note|笔记；注意到
now|现在
nuclear|核的
obvious|明显的
obviously|明显地
occasion|场合；时刻
occur|发生
odd|奇怪的；奇数的
official|官方的；官员
old-fashioned|过时的
once|一次；曾经
operation|操作；手术
organized|有组织的
organizer|组织者
original|原来的；原创的
originally|最初
ought|应该
ours|我们的
outdoor|户外的
outdoors|在户外
pack|打包；一包
package|包裹；包装
painful|疼痛的
pale|苍白的
pan|平底锅
participate|参加
particularly|尤其
pass|通过；传递
passion|激情；热爱
path|小路；路径
payment|付款
peaceful|和平的；宁静的
percentage|百分比
perfectly|完美地
performance|表演；表现
personally|就个人而言
persuade|说服
photographer|摄影师
photography|摄影
pin|大头针；固定
pipe|管子
place|地点；放置
planning|计划
pleasant|令人愉快的
pleasure|愉快；荣幸
plenty|大量
plot|情节；阴谋
plus|加；另外
poem|诗
poet|诗人
poetry|诗歌
point|点；观点；指向
poison|毒药
poisonous|有毒的
policy|政策
political|政治的
politician|政治家
politics|政治
port|港口
portrait|肖像
possibly|可能地
pot|锅；罐
pour|倒；倾泻
poverty|贫穷
powder|粉末
powerful|强大的
practical|实际的；实用的
pray|祈祷
prayer|祈祷
prediction|预测
prepared|准备好的
presentation|展示；演讲
press|按；新闻界
pressure|压力
pretend|假装
previous|以前的
previously|以前
priest|牧师
primary|主要的；初级的
prince|王子
princess|公主
printing|印刷
prisoner|囚犯
private|私人的
producer|制作人；生产者
production|生产；制作
profession|职业
profit|利润
program|节目；程序
promote|促进；提升
proper|合适的；正确的
properly|正确地
property|财产；房产
protest|抗议
proud|骄傲的
prove|证明
pull|拉
punish|惩罚
punishment|惩罚
push|推
qualification|资格
qualified|合格的
qualify|取得资格
queue|队列；排队
quit|退出；放弃
quotation|引语
quote|引用
race|比赛；种族
racing|赛跑；赛车
range|范围
rare|罕见的
rarely|很少
reaction|反应
reality|现实
receipt|收据
recommendation|推荐
reference|参考；提及
reflect|反映；反射
regularly|定期地
reject|拒绝
relate|联系；涉及
related|相关的
relation|关系
relative|亲戚；相对的
relaxed|放松的
relaxing|令人放松的
release|释放；发布
reliable|可靠的
religion|宗教
religious|宗教的
remain|保持；留下
remind|提醒
remote|遥远的；远程的
rent|租金；租用
repair|修理
repeat|重复
repeated|重复的
represent|代表
request|请求
require|需要；要求
reservation|预订；保留意见
resource|资源
respect|尊重
responsibility|责任
responsible|负责的
result|结果
retire|退休
retired|退休的
revise|复习；修改
ring|戒指；打电话
rise|上升
risk|风险
robot|机器人
roll|滚动；卷
romantic|浪漫的
rope|绳子
rough|粗糙的；艰难的
row|一排；争吵
royal|皇家的
rugby|橄榄球
rule|规则；统治
safety|安全
sail|航行
sailor|水手
sample|样本
sand|沙子
scan|扫描
scientific|科学的
script|剧本；脚本
sculpture|雕塑
secondary|中等的；次要的
security|安全；保障
seed|种子
sensible|明智的
separate|分开的；分离
seriously|认真地；严重地
servant|仆人
set|放置；一套
setting|环境；背景
sex|性别；性
sexual|性的
shake|摇动
share|分享；份额
sharp|锋利的；急剧的
shelf|架子
shell|壳
shift|转变；轮班
shine|发光
shiny|闪亮的
shoot|射击；拍摄
shy|害羞的
sight|视力；景象
signal|信号
silent|沉默的
silly|愚蠢的
similarity|相似性
similarly|相似地
simply|简单地；仅仅
since|自从；因为
sink|下沉；水槽
slice|片
slightly|稍微
slow|慢的
smart|聪明的
smooth|平滑的
software|软件
soil|土壤
solid|固体的；坚固的
sort|种类；分类
southern|南方的
specifically|具体地
spending|花费；开支
spicy|辛辣的
spirit|精神
spoken|口语的
spot|地点；斑点
spread|传播；展开
spring|春天；弹簧
stadium|体育场
staff|员工
standard|标准
state|状态；州；陈述
statistic|统计数据
statue|雕像
stick|棍；粘贴
still|仍然；静止的
store|商店；储存
stranger|陌生人
strength|力量；优势
string|细绳；一串
strongly|强烈地
studio|工作室
stuff|东西；材料
substance|物质
successfully|成功地
sudden|突然的
suffer|遭受
suit|套装；适合
suitable|合适的
summarize|总结
summary|总结
supply|供应
supporter|支持者
surely|当然；无疑
surface|表面
survive|幸存
swim|游泳
switch|转换；开关
symptom|症状
tail|尾巴
talent|天赋
talented|有天赋的
tape|胶带；录音带
tax|税
technical|技术的
technique|技巧；技术
tend|倾向于
tent|帐篷
that|那个；那
theirs|他们的
theme|主题
theory|理论
therefore|因此
this|这个
though|虽然；不过
throat|喉咙
throughout|遍及；贯穿
tight|紧的
tin|罐；锡
tiny|微小的
tip|小费；建议；尖端
toe|脚趾
tongue|舌头；语言
total|总数；总的
totally|完全地
touch|触摸；联系
tour|旅行；巡回
trade|贸易；交换
translate|翻译
translation|翻译
transport|交通；运输
treat|对待；治疗
treatment|治疗；对待
trend|趋势
trick|诡计；技巧
truth|真相
tube|管子；地铁
type|类型；打字
typically|通常
tyre|轮胎
ugly|丑陋的
unable|不能的
uncomfortable|不舒服的
underwear|内衣
unemployed|失业的
unemployment|失业
unfair|不公平的
union|联盟；工会
unless|除非
unlike|不像
unlikely|不太可能的
unnecessary|不必要的
unpleasant|令人不快的
update|更新
upon|在...之上；一...就
upset|沮丧的；使心烦
used|习惯于；用过的
valuable|有价值的
value|价值；重视
various|各种各样的
version|版本
victim|受害者
view|观点；景色
violent|暴力的
volunteer|志愿者；自愿
vote|投票
warm|温暖的
warn|警告
warning|警告
waste|浪费；废物
water|水；浇水
wave|波浪；挥手
weapon|武器
weigh|称重；重达
western|西方的
whatever|无论什么
whenever|无论何时
whether|是否
while|当...时；一会儿
whole|整个的
will|将；意愿
win|获胜
wing|翅膀
within|在...之内
wonder|想知道；惊讶
wool|羊毛
worldwide|全世界的
worry|担心
worse|更糟的
worst|最糟的
worth|值得；价值
written|书面的
wrong|错误的
yard|院子；码
young|年轻的
youth|青年；青春
